step,cost,time
0,29.462343215942383,0.0
1,29.57933807373047,0.00024509429931640625
2,29.57933807373047,0.0003020763397216797
3,29.455289840698242,0.00046706199645996094
4,29.455289840698242,0.0005218982696533203
5,29.316028594970703,0.0006799697875976562
6,29.316028594970703,0.0007350444793701172
7,29.27663230895996,0.0008928775787353516
8,29.27663230895996,0.0009479522705078125
9,28.693408966064453,0.0011038780212402344
10,28.693408966064453,0.0011589527130126953
11,28.826683044433594,0.0013151168823242188
12,28.826683044433594,0.0013699531555175781
13,28.993289947509766,0.0015261173248291016
14,28.993289947509766,0.0015828609466552734
15,28.71613883972168,0.0017390251159667969
16,28.71613883972168,0.0017931461334228516
17,28.2943115234375,0.0019478797912597656
18,28.2943115234375,0.0020029544830322266
19,28.671920776367188,0.0021698474884033203
20,28.671920776367188,0.0022249221801757812
21,28.64691925048828,0.0023801326751708984
22,28.64691925048828,0.0024340152740478516
23,29.466751098632812,0.002588987350463867
24,29.466751098632812,0.002644062042236328
25,29.3389835357666,0.0027980804443359375
26,29.3389835357666,0.002852916717529297
27,29.334665298461914,0.003008127212524414
28,29.334665298461914,0.003062009811401367
29,29.283447265625,0.003216981887817383
30,29.283447265625,0.003270864486694336
31,29.24735450744629,0.003426074981689453
32,29.24735450744629,0.003480195999145508
33,28.91353988647461,0.003638029098510742
34,28.91353988647461,0.003692150115966797
35,29.10147476196289,0.003846883773803711
36,29.10147476196289,0.0039010047912597656
37,28.964290618896484,0.004055023193359375
38,28.964290618896484,0.004110097885131836
39,28.438772201538086,0.004263877868652344
40,28.438772201538086,0.0043201446533203125
41,28.389732360839844,0.0044748783111572266
42,28.389732360839844,0.004528999328613281
43,29.151546478271484,0.004683971405029297
44,29.151546478271484,0.004740238189697266
45,28.590232849121094,0.004911899566650391
46,28.590232849121094,0.0049669742584228516
47,28.52840805053711,0.005120992660522461
48,28.52840805053711,0.005175113677978516
49,28.653730392456055,0.0053310394287109375
50,28.653730392456055,0.005384922027587891
51,28.659732818603516,0.005541801452636719
52,28.659732818603516,0.0055959224700927734
53,28.623943328857422,0.005751132965087891
54,28.623943328857422,0.005805015563964844
55,28.582477569580078,0.005957841873168945
56,28.582477569580078,0.006012916564941406
57,28.447288513183594,0.0061681270599365234
58,28.447288513183594,0.006222963333129883
59,28.420452117919922,0.006379127502441406
60,28.420452117919922,0.006433963775634766
61,28.84649658203125,0.006594181060791016
62,28.84649658203125,0.006648063659667969
63,28.787357330322266,0.006803035736083984
64,28.787357330322266,0.006858110427856445
65,28.729705810546875,0.00702214241027832
66,28.729705810546875,0.007075786590576172
67,29.005191802978516,0.007230997085571289
68,29.005191802978516,0.007285118103027344
69,28.921117782592773,0.00745081901550293
70,28.921117782592773,0.007508993148803711
71,29.13504409790039,0.007667064666748047
72,29.13504409790039,0.007720947265625
73,29.234451293945312,0.007877826690673828
