method,m,i,step,cost,time
random,1,1,377,34.251129150390625,5.116044044494629
random,1,1,378,34.12253189086914,5.116044044494629
random,1,1,379,34.13444900512695,5.116044044494629
random,1,1,380,34.1527214050293,5.116044044494629
random,1,1,381,34.1527214050293,5.116044044494629
random,1,1,382,33.881195068359375,5.116044044494629
random,1,1,383,33.80415344238281,5.116044044494629
random,1,1,384,33.631324768066406,5.116044044494629
random,1,1,385,33.602256774902344,5.116044044494629
random,1,1,386,33.761138916015625,5.116044044494629
random,1,1,387,33.79705810546875,5.116044044494629
random,1,1,388,33.85749816894531,5.116044044494629
random,1,1,389,33.98447036743164,5.116044044494629
random,1,1,390,33.689674377441406,5.116044044494629
random,1,1,391,33.56235122680664,5.116044044494629
random,1,1,392,33.56235122680664,5.116044044494629
random,1,1,393,33.96977233886719,5.116044044494629
random,1,1,394,33.8468132019043,5.116044044494629
random,1,1,395,33.8468132019043,5.116044044494629
random,1,1,396,33.940948486328125,5.116044044494629
random,1,1,397,33.940948486328125,5.116044044494629
random,1,1,398,34.19047546386719,5.116044044494629
random,1,1,399,34.19047546386719,5.116044044494629
random,1,1,400,34.19047546386719,5.116044044494629
random,1,1,401,34.15978240966797,5.116044044494629
random,1,1,402,34.15978240966797,5.116044044494629
random,1,1,403,34.2602653503418,5.116044044494629
random,1,1,404,34.21820068359375,5.116044044494629
random,1,1,405,34.28124237060547,5.116044044494629
random,1,1,406,34.939918518066406,5.116044044494629
random,1,1,407,34.979339599609375,5.116044044494629
random,1,1,408,34.75487518310547,5.116044044494629
random,1,1,409,34.75487518310547,5.116044044494629
random,1,1,410,35.130882263183594,5.116044044494629
random,1,1,411,35.1212272644043,5.116044044494629
random,1,1,412,34.88543701171875,5.116044044494629
random,1,1,413,34.84288024902344,5.116044044494629
random,1,1,414,35.297969818115234,5.116044044494629
random,1,1,415,35.297969818115234,5.116044044494629
random,1,1,416,35.297969818115234,5.116044044494629
random,1,1,417,35.037384033203125,5.116044044494629
random,1,1,418,34.782142639160156,5.116044044494629
random,1,1,419,34.49687957763672,5.116044044494629
random,1,1,420,34.30720138549805,5.116044044494629
random,1,1,421,35.022708892822266,5.116044044494629
random,1,1,422,35.022708892822266,5.116044044494629
random,1,1,423,34.606441497802734,5.116044044494629
random,1,1,424,34.59949493408203,5.116044044494629
random,1,1,425,34.18755340576172,5.116044044494629
random,1,1,426,34.18755340576172,5.116044044494629
random,1,1,427,34.32780838012695,5.116044044494629
random,1,1,428,34.373291015625,5.116044044494629
random,1,1,429,34.326377868652344,5.116044044494629
random,1,1,430,34.451210021972656,5.116044044494629
random,1,1,431,34.38787078857422,5.116044044494629
random,1,1,432,34.88148498535156,5.116044044494629
random,1,1,433,34.71825408935547,5.116044044494629
random,1,1,434,34.95484924316406,5.116044044494629
random,1,1,435,34.95720291137695,5.116044044494629
random,1,1,436,34.82258605957031,5.116044044494629
random,1,1,437,34.82258605957031,5.116044044494629
random,1,1,438,35.064666748046875,5.116044044494629
random,1,1,439,35.064666748046875,5.116044044494629
random,1,1,440,35.064666748046875,5.116044044494629
random,1,1,441,35.1927375793457,5.116044044494629
random,1,1,442,35.15245056152344,5.116044044494629
random,1,1,443,35.19208526611328,5.116044044494629
random,1,1,444,35.31463623046875,5.116044044494629
random,1,1,445,35.441959381103516,5.116044044494629
random,1,1,446,35.54731369018555,5.116044044494629
random,1,1,447,35.44316101074219,5.116044044494629
random,1,1,448,35.443363189697266,5.116044044494629
random,1,1,449,35.860713958740234,5.116044044494629
random,1,1,450,36.51754379272461,5.116044044494629
random,1,1,451,36.195762634277344,5.116044044494629
random,1,1,452,36.01725387573242,5.116044044494629
random,1,1,453,36.01725387573242,5.116044044494629
random,1,1,454,36.09379577636719,5.116044044494629
random,1,1,455,35.92940902709961,5.116044044494629
random,1,1,456,35.92940902709961,5.116044044494629
random,1,1,457,35.85899353027344,5.116044044494629
random,1,1,458,35.7763557434082,5.116044044494629
random,1,1,459,35.6537971496582,5.116044044494629
random,1,1,460,35.43720626831055,5.116044044494629
random,1,1,461,35.43760681152344,5.116044044494629
random,1,1,462,35.432491302490234,5.116044044494629
random,1,1,463,35.38167953491211,5.116044044494629
random,1,1,464,35.57754898071289,5.116044044494629
random,1,1,465,35.93473434448242,5.116044044494629
random,1,1,466,35.77703094482422,5.116044044494629
random,1,1,467,35.87272644042969,5.116044044494629
random,1,1,468,36.261837005615234,5.116044044494629
random,1,1,469,36.59681701660156,5.116044044494629
random,1,1,470,36.753822326660156,5.116044044494629
random,1,1,471,37.23606491088867,5.116044044494629
random,1,1,472,37.27452087402344,5.116044044494629
random,1,1,473,36.73042678833008,5.116044044494629
random,1,1,474,36.443790435791016,5.116044044494629
random,1,1,475,36.14325714111328,5.116044044494629
random,1,1,476,35.85688400268555,5.116044044494629
random,1,1,477,34.92633056640625,5.116044044494629
random,1,1,478,35.187744140625,5.116044044494629
random,1,1,479,35.187744140625,5.116044044494629
random,1,1,480,34.76472854614258,5.116044044494629
random,1,1,481,34.286277770996094,5.116044044494629
random,1,1,482,34.124183654785156,5.116044044494629
random,1,1,483,33.795936584472656,5.116044044494629
random,1,1,484,33.894256591796875,5.116044044494629
random,1,1,485,33.894256591796875,5.116044044494629
random,1,1,486,33.9097900390625,5.116044044494629
random,1,1,487,33.429412841796875,5.116044044494629
random,1,1,488,33.4314079284668,5.116044044494629
random,1,1,489,33.55107879638672,5.116044044494629
random,1,1,490,33.67694854736328,5.116044044494629
random,1,1,491,33.182952880859375,5.116044044494629
random,1,1,492,33.53302764892578,5.116044044494629
random,1,1,493,33.4682502746582,5.116044044494629
random,1,1,494,33.8026123046875,5.116044044494629
random,1,1,495,33.831974029541016,5.116044044494629
random,1,1,496,33.53322219848633,5.116044044494629
random,1,1,497,33.218502044677734,5.116044044494629
random,1,1,498,33.195472717285156,5.116044044494629
random,1,1,499,33.419395446777344,5.116044044494629
random,1,1,500,32.993873596191406,5.116044044494629
random,1,1,501,33.34640884399414,5.116044044494629
random,1,1,502,33.48731994628906,5.116044044494629
random,1,1,503,33.4873161315918,5.116044044494629
random,1,1,504,33.5401611328125,5.116044044494629
random,1,1,505,33.35007858276367,5.116044044494629
random,1,1,506,34.419071197509766,5.116044044494629
random,1,1,507,34.603729248046875,5.116044044494629
random,1,1,508,34.59197998046875,5.116044044494629
random,1,1,509,34.59197998046875,5.116044044494629
random,1,1,510,34.74231719970703,5.116044044494629
