method,m,i,step,cost,time
random,1,2,60,36.837547302246094,4.937280893325806
random,1,2,61,36.843692779541016,4.937280893325806
random,1,2,62,36.6045036315918,4.937280893325806
random,1,2,63,36.705291748046875,4.937280893325806
random,1,2,64,36.841705322265625,4.937280893325806
random,1,2,65,37.18769836425781,4.937280893325806
random,1,2,66,36.904808044433594,4.937280893325806
random,1,2,67,37.34087371826172,4.937280893325806
random,1,2,68,37.37385177612305,4.937280893325806
random,1,2,69,37.41254425048828,4.937280893325806
random,1,2,70,37.3534049987793,4.937280893325806
random,1,2,71,37.48814392089844,4.937280893325806
random,1,2,72,37.47320556640625,4.937280893325806
random,1,2,73,37.66058349609375,4.937280893325806
random,1,2,74,37.64118957519531,4.937280893325806
random,1,2,75,37.184837341308594,4.937280893325806
random,1,2,76,37.03700256347656,4.937280893325806
random,1,2,77,37.08654022216797,4.937280893325806
random,1,2,78,37.013023376464844,4.937280893325806
random,1,2,79,36.8621940612793,4.937280893325806
random,1,2,80,37.46098709106445,4.937280893325806
random,1,2,81,37.07520294189453,4.937280893325806
random,1,2,82,37.055442810058594,4.937280893325806
random,1,2,83,37.194671630859375,4.937280893325806
random,1,2,84,36.053688049316406,4.937280893325806
random,1,2,85,36.583595275878906,4.937280893325806
random,1,2,86,36.6602897644043,4.937280893325806
random,1,2,87,36.69611358642578,4.937280893325806
random,1,2,88,36.61170196533203,4.937280893325806
random,1,2,89,36.349769592285156,4.937280893325806
random,1,2,90,37.16331481933594,4.937280893325806
random,1,2,91,37.12160110473633,4.937280893325806
random,1,2,92,36.840553283691406,4.937280893325806
random,1,2,93,36.62101364135742,4.937280893325806
random,1,2,94,36.599632263183594,4.937280893325806
random,1,2,95,35.86257553100586,4.937280893325806
random,1,2,96,35.76823806762695,4.937280893325806
random,1,2,97,35.76462173461914,4.937280893325806
random,1,2,98,35.74815368652344,4.937280893325806
random,1,2,99,35.64125061035156,4.937280893325806
random,1,2,100,36.075836181640625,4.937280893325806
random,1,2,101,35.95332336425781,4.937280893325806
random,1,2,102,35.964542388916016,4.937280893325806
random,1,2,103,35.8662223815918,4.937280893325806
random,1,2,104,36.484466552734375,4.937280893325806
random,1,2,105,35.94690704345703,4.937280893325806
random,1,2,106,35.619873046875,4.937280893325806
random,1,2,107,35.56789016723633,4.937280893325806
random,1,2,108,36.02692413330078,4.937280893325806
random,1,2,109,36.06649398803711,4.937280893325806
random,1,2,110,35.990447998046875,4.937280893325806
