method,m,i,step,cost,time
sampled,5,5,116,14.518340110778809,53.091943979263306
sampled,5,5,117,14.455235481262207,53.091943979263306
sampled,5,5,118,14.395933151245117,53.091943979263306
sampled,5,5,119,14.365957260131836,53.091943979263306
sampled,5,5,120,14.45730209350586,53.091943979263306
sampled,5,5,121,15.328817367553711,53.091943979263306
sampled,5,5,122,14.686485290527344,53.091943979263306
sampled,5,5,123,14.628122329711914,53.091943979263306
sampled,5,5,124,14.73184585571289,53.091943979263306
sampled,5,5,125,14.470793724060059,53.091943979263306
sampled,5,5,126,14.766580581665039,53.091943979263306
sampled,5,5,127,14.582757949829102,53.091943979263306
sampled,5,5,128,14.224048614501953,53.091943979263306
sampled,5,5,129,13.787298202514648,53.091943979263306
sampled,5,5,130,13.811760902404785,53.091943979263306
sampled,5,5,131,13.696633338928223,53.091943979263306
sampled,5,5,132,13.81857681274414,53.091943979263306
sampled,5,5,133,14.026786804199219,53.091943979263306
sampled,5,5,134,13.84703254699707,53.091943979263306
sampled,5,5,135,13.911224365234375,53.091943979263306
sampled,5,5,136,13.70877456665039,53.091943979263306
sampled,5,5,137,13.647565841674805,53.091943979263306
sampled,5,5,138,13.583450317382812,53.091943979263306
sampled,5,5,139,13.602375030517578,53.091943979263306
sampled,5,5,140,13.63385009765625,53.091943979263306
sampled,5,5,141,13.623298645019531,53.091943979263306
sampled,5,5,142,13.822874069213867,53.091943979263306
sampled,5,5,143,13.822086334228516,53.091943979263306
sampled,5,5,144,13.409750938415527,53.091943979263306
sampled,5,5,145,12.960972785949707,53.091943979263306
sampled,5,5,146,12.982704162597656,53.091943979263306
sampled,5,5,147,12.841099739074707,53.091943979263306
sampled,5,5,148,14.029825210571289,53.091943979263306
sampled,5,5,149,12.841099739074707,53.091943979263306
sampled,5,5,150,13.086938858032227,53.091943979263306
sampled,5,5,151,13.323797225952148,53.091943979263306
sampled,5,5,152,13.367006301879883,53.091943979263306
sampled,5,5,153,13.367006301879883,53.091943979263306
sampled,5,5,154,13.30569076538086,53.091943979263306
sampled,5,5,155,13.582938194274902,53.091943979263306
sampled,5,5,156,13.531135559082031,53.091943979263306
sampled,5,5,157,13.869305610656738,53.091943979263306
sampled,5,5,158,13.691691398620605,53.091943979263306
sampled,5,5,159,13.613916397094727,53.091943979263306
sampled,5,5,160,13.702215194702148,53.091943979263306
sampled,5,5,161,13.744860649108887,53.091943979263306
sampled,5,5,162,13.500544548034668,53.091943979263306
sampled,5,5,163,13.54336929321289,53.091943979263306
sampled,5,5,164,13.936393737792969,53.091943979263306
sampled,5,5,165,14.093581199645996,53.091943979263306
sampled,5,5,166,14.188865661621094,53.091943979263306
sampled,5,5,167,13.693316459655762,53.091943979263306
sampled,5,5,168,14.028207778930664,53.091943979263306
sampled,5,5,169,13.63751220703125,53.091943979263306
sampled,5,5,170,13.698291778564453,53.091943979263306
sampled,5,5,171,13.92626953125,53.091943979263306
sampled,5,5,172,13.965963363647461,53.091943979263306
sampled,5,5,173,13.965962409973145,53.091943979263306
sampled,5,5,174,14.21055793762207,53.091943979263306
sampled,5,5,175,14.200895309448242,53.091943979263306
